"","Series","Type","Period","Method","RMSE","MAE","MAPE"
"1","N0121","MICRO","YEARLY","Auto.Arima",0.732860754223784,0.612719469308621,122.477816615299
"2","N0121","MICRO","YEARLY","BSTS",0.711435784322021,0.569498989000615,131.950791309811
"3","N0121","MICRO","YEARLY","ETS",0.737849395961998,0.621843812464592,121.856690755506
"4","N0121","MICRO","YEARLY","THETA",0.72050858737002,0.5910939646497,126.70243716724
"5","N0121","MICRO","YEARLY","BEA",0.725595829315687,0.601354090257943,125.428432893539
"6","N0121","MICRO","YEARLY","EAT",0.729968819369434,0.608552415474304,123.678981512682
"7","N0121","MICRO","YEARLY","BAT",0.720396067385501,0.591104140986312,127.04368169745
"8","N0121","MICRO","YEARLY","BET",0.721785798211636,0.594145588704969,126.836639744186
"9","N0121","MICRO","YEARLY","BEAT",0.724284583198679,0.598789058855882,125.746933961964
"10","N0121","MICRO","YEARLY","medianBEAT",0.726307650577961,0.60190671697916,124.59012689127
"11","N0121","MICRO","YEARLY","meanBaggedBEAT",0.71563979521383,0.581130511377497,128.96525393006
"12","N0121","MICRO","YEARLY","medianBaggedBEAT",0.716380229554277,0.581262465115639,128.502072215739
"13","N0121","MICRO","YEARLY","meanPertBEAT",0.719171476140677,0.588781158156672,127.740786105686
"14","N0121","MICRO","YEARLY","medianPertBEAT",0.72074703809954,0.591819813726288,128.010073590968
"15","N0122","MICRO","YEARLY","Auto.Arima",0.813519863998518,0.74775178821976,66.8852018155596
"16","N0122","MICRO","YEARLY","BSTS",0.724154586458433,0.667970583282063,60.0569883283954
"17","N0122","MICRO","YEARLY","ETS",0.480312561189952,0.411775058836263,38.4657779755671
"18","N0122","MICRO","YEARLY","THETA",0.680043422301319,0.61819568173706,55.9263647298958
"19","N0122","MICRO","YEARLY","BEA",0.668752315210671,0.609165810112695,55.135989373174
"20","N0122","MICRO","YEARLY","EAT",0.654185289494123,0.592574176264361,53.7591148403408
"21","N0122","MICRO","YEARLY","BAT",0.738760914952034,0.677972684412961,60.9561849579503
"22","N0122","MICRO","YEARLY","BET",0.625596542157938,0.565980441285129,51.4830436779528
"23","N0122","MICRO","YEARLY","BEAT",0.671555268786959,0.611423278018787,55.3335832123545
"24","N0122","MICRO","YEARLY","medianBEAT",0.701722413749563,0.641245051511003,57.8788757828444
"25","N0122","MICRO","YEARLY","meanBaggedBEAT",0.820102410195839,0.76376481828955,68.1541856623946
"26","N0122","MICRO","YEARLY","medianBaggedBEAT",0.818273703684628,0.760358516074128,67.8463708249022
"27","N0122","MICRO","YEARLY","meanPertBEAT",0.863295118961576,0.806499159493557,71.7731316161451
"28","N0122","MICRO","YEARLY","medianPertBEAT",0.890033197081834,0.833024024654625,74.0457129515155
"29","N0123","MICRO","YEARLY","Auto.Arima",0.778275331356733,0.654826889430207,29.4517827455621
"30","N0123","MICRO","YEARLY","BSTS",0.625592876592791,0.555762546658075,26.7330896954237
"31","N0123","MICRO","YEARLY","ETS",0.493055972566036,0.400970547685977,21.4457816041436
"32","N0123","MICRO","YEARLY","THETA",0.817843339250031,0.717787986933651,31.9522526486414
"33","N0123","MICRO","YEARLY","BEA",0.621630572564713,0.537186661258086,25.8768846817098
"34","N0123","MICRO","YEARLY","EAT",0.679650768861639,0.591195141349945,27.6166056661157
"35","N0123","MICRO","YEARLY","BAT",0.736903164474248,0.642792474340644,29.3790416965424
"36","N0123","MICRO","YEARLY","BET",0.630205551302565,0.558173693759234,26.7103746494029
"37","N0123","MICRO","YEARLY","BEAT",0.665858575574469,0.582336992676977,27.3957266734427
"38","N0123","MICRO","YEARLY","medianBEAT",0.699954800583427,0.605294718044141,28.0924362204929
"39","N0123","MICRO","YEARLY","meanBaggedBEAT",0.733255344318528,0.640949548344211,29.2629754616
"40","N0123","MICRO","YEARLY","medianBaggedBEAT",0.722229094024455,0.630335000491035,28.7351653221933
"41","N0123","MICRO","YEARLY","meanPertBEAT",0.870810694092013,0.757412498727054,33.2072082959394
"42","N0123","MICRO","YEARLY","medianPertBEAT",0.794018146112817,0.692262262181109,30.9721809302031
"43","N0124","MICRO","YEARLY","Auto.Arima",0.831120901362083,0.741483204065572,49.8738677256909
"44","N0124","MICRO","YEARLY","BSTS",0.651983750068283,0.523875563977905,36.2774659398241
"45","N0124","MICRO","YEARLY","ETS",0.253189982691734,0.220509055690214,14.8858889648254
"46","N0124","MICRO","YEARLY","THETA",0.445398608650425,0.340494287142978,23.92473269799
"47","N0124","MICRO","YEARLY","BEA",0.566487673377841,0.466320996974004,32.1372686855662
"48","N0124","MICRO","YEARLY","EAT",0.497790445559524,0.405193904695694,28.0196909382881
"49","N0124","MICRO","YEARLY","BAT",0.638181622716989,0.535284351728818,36.6920221211683
"50","N0124","MICRO","YEARLY","BET",0.444211544643918,0.332658024666472,23.4875570096658
"51","N0124","MICRO","YEARLY","BEAT",0.535647965516268,0.434864319516247,30.0841346886721
"52","N0124","MICRO","YEARLY","medianBEAT",0.547997554350971,0.432184925560442,30.101099318907
"53","N0124","MICRO","YEARLY","meanBaggedBEAT",0.641324227515772,0.541421556873873,37.0494757435171
