"","Series","Type","Period","Method","RMSE","MAE","MAPE"
"1","N0776","MICRO","QUARTERLY","Auto.Arima",0.215447321631684,0.17781749634375,12.0285704461677
"2","N0776","MICRO","QUARTERLY","BSTS",0.231728673245479,0.157647873700865,9.75450851873213
"3","N0776","MICRO","QUARTERLY","ETS",0.194021469402273,0.148957793421029,9.59541755474049
"4","N0776","MICRO","QUARTERLY","THETA",0.243556958773327,0.145257205989192,8.63597760263436
"5","N0776","MICRO","QUARTERLY","BEA",0.20920040836416,0.158319905316488,10.2659555365747
"6","N0776","MICRO","QUARTERLY","EAT",0.212311087879508,0.155588173710528,9.95323957023381
"7","N0776","MICRO","QUARTERLY","BAT",0.224291561041493,0.155922306461527,9.84894973824807
"8","N0776","MICRO","QUARTERLY","BET",0.220098901523911,0.146894327317066,9.07412192442812
"9","N0776","MICRO","QUARTERLY","BEAT",0.215873176611194,0.154181178201402,9.78556669237117
"10","N0776","MICRO","QUARTERLY","medianBEAT",0.213628161188751,0.150981036311866,9.51823606051963
"11","N0776","MICRO","QUARTERLY","meanBaggedBEAT",0.227918995604506,0.148960228695916,9.13350651381352
"12","N0776","MICRO","QUARTERLY","medianBaggedBEAT",0.219763517571516,0.149781204601949,9.36013166667897
"13","N0776","MICRO","QUARTERLY","meanPertBEAT",0.215740773870585,0.152851584245879,9.76439899166091
"14","N0776","MICRO","QUARTERLY","medianPertBEAT",0.216885491492438,0.150437361303163,9.54977050376244
"15","N0777","MICRO","QUARTERLY","Auto.Arima",0.222775798803266,0.19400085363503,12.4125756868531
"16","N0777","MICRO","QUARTERLY","BSTS",0.153257584983345,0.134962516986181,8.65969127341683
"17","N0777","MICRO","QUARTERLY","ETS",0.194620121462193,0.176343876132085,11.3694541930883
"18","N0777","MICRO","QUARTERLY","THETA",0.138867888865124,0.125355331070328,8.07941773546302
"19","N0777","MICRO","QUARTERLY","BEA",0.18975611343805,0.168435748917765,10.8139070511194
"20","N0777","MICRO","QUARTERLY","EAT",0.185050916673283,0.165233353612481,10.6204825384682
"21","N0777","MICRO","QUARTERLY","BAT",0.171289082869825,0.151439567230513,9.71722823191099
"22","N0777","MICRO","QUARTERLY","BET",0.161866667996538,0.145553908062865,9.36952106732273
"23","N0777","MICRO","QUARTERLY","BEAT",0.176940112227594,0.157665644455906,10.1302847222053
"24","N0777","MICRO","QUARTERLY","medianBEAT",0.174065653906796,0.155652849942892,10.0073990500866
"25","N0777","MICRO","QUARTERLY","meanBaggedBEAT",0.167717447931071,0.143566530969086,9.16398030231789
"26","N0777","MICRO","QUARTERLY","medianBaggedBEAT",0.175967330371549,0.155262908938928,9.96117364922127
"27","N0777","MICRO","QUARTERLY","meanPertBEAT",0.139528808079472,0.118347743982801,7.54335911551507
"28","N0777","MICRO","QUARTERLY","medianPertBEAT",0.142597030019197,0.121692301018972,7.76441297456163
"29","N0778","MICRO","QUARTERLY","Auto.Arima",0.71357172396661,0.659788487431124,43.1218848182863
"30","N0778","MICRO","QUARTERLY","BSTS",0.96543013542469,0.891281173560127,57.9724004578515
"31","N0778","MICRO","QUARTERLY","ETS",0.390512936942241,0.357933279624048,23.8492365619864
"32","N0778","MICRO","QUARTERLY","THETA",0.357361935936416,0.325419891870637,21.375180455733
"33","N0778","MICRO","QUARTERLY","BEA",0.685631964001766,0.636334313538433,41.6478406127081
"34","N0778","MICRO","QUARTERLY","EAT",0.483769358349383,0.447713886308603,29.4487672786686
"35","N0778","MICRO","QUARTERLY","BAT",0.677708438740012,0.62549651762063,40.8231552439569
"36","N0778","MICRO","QUARTERLY","BET",0.566533953980524,0.524878115018271,34.3989391585236
"37","N0778","MICRO","QUARTERLY","BEAT",0.603062834128108,0.558605708121484,36.5796755734643
"38","N0778","MICRO","QUARTERLY","medianBEAT",0.557747358926483,0.519309648564554,34.0758764034549
"39","N0778","MICRO","QUARTERLY","meanBaggedBEAT",0.585825734411951,0.535459833541762,35.1063580278568
"40","N0778","MICRO","QUARTERLY","medianBaggedBEAT",0.55175962368393,0.499956090643056,32.9408167130328
"41","N0778","MICRO","QUARTERLY","meanPertBEAT",0.530743971177555,0.481611676727922,31.697209012272
"42","N0778","MICRO","QUARTERLY","medianPertBEAT",0.521067629039315,0.472262060403338,31.0397220198098
"43","N0779","MICRO","QUARTERLY","Auto.Arima",0.0423239573752262,0.0342816035034038,3.08144506359838
"44","N0779","MICRO","QUARTERLY","BSTS",0.0449462432355011,0.039966932986002,3.74334596478781
"45","N0779","MICRO","QUARTERLY","ETS",0.0462608266205586,0.0382419236528277,3.6051655179142
"46","N0779","MICRO","QUARTERLY","THETA",0.0506305158995593,0.0428227854182232,4.0536694424032
"47","N0779","MICRO","QUARTERLY","BEA",0.0419218729622226,0.0349829727737487,3.22667945056414
"48","N0779","MICRO","QUARTERLY","EAT",0.0425891859088755,0.0349359397959333,3.2366446555432
"49","N0779","MICRO","QUARTERLY","BAT",0.042151420517914,0.0354858938554232,3.27985419636339
"50","N0779","MICRO","QUARTERLY","BET",0.0461506748649904,0.0387535760015682,3.64938500919438
"51","N0779","MICRO","QUARTERLY","BEAT",0.0428610355218482,0.0352139681062124,3.26952844784274
"52","N0779","MICRO","QUARTERLY","medianBEAT",0.044483018809371,0.0366997186240758,3.44090728516411
"53","N0779","MICRO","QUARTERLY","meanBaggedBEAT",0.0450382547749172,0.0368052365709869,3.35768938462057
"54","N0779","MICRO","QUARTERLY","medianBaggedBEAT",0.0452602600882195,0.0387717772586485,3.56547896871975
"55","N0779","MICRO","QUARTERLY","meanPertBEAT",0.0494447040843084,0.042313401555139,3.98992457362186
"56","N0779","MICRO","QUARTERLY","medianPertBEAT",0.0520243871217356,0.0443782070382687,4.16440468648796
"57","N0780","MICRO","QUARTERLY","Auto.Arima",0.05492243009381,0.0483179977814391,3.82720623898768
"58","N0780","MICRO","QUARTERLY","BSTS",0.0324073386747074,0.0269331968398017,2.11589577839216
"59","N0780","MICRO","QUARTERLY","ETS",0.0562520911465844,0.0501063361568399,3.98232885803342
"60","N0780","MICRO","QUARTERLY","THETA",0.0467320317925038,0.0420003864279382,3.34895290059708
"61","N0780","MICRO","QUARTERLY","BEA",0.0476274843329477,0.0417858435926936,3.30847695847109
"62","N0780","MICRO","QUARTERLY","EAT",0.0525404556657766,0.0468082401220724,3.71949599920606
"63","N0780","MICRO","QUARTERLY","BAT",0.0444334334451142,0.0390838603497263,3.09735163932564
"64","N0780","MICRO","QUARTERLY","BET",0.0448616031530921,0.0396799731415266,3.14905917900755
"65","N0780","MICRO","QUARTERLY","BEAT",0.047344166164689,0.0418394793015047,3.31859594400258
"66","N0780","MICRO","QUARTERLY","medianBEAT",0.050116735268999,0.0446341878159258,3.54726943068713
"67","N0780","MICRO","QUARTERLY","meanBaggedBEAT",0.0279794665040154,0.0197528162044465,1.51610161872351
"68","N0780","MICRO","QUARTERLY","medianBaggedBEAT",0.0271246120959611,0.0194536296081664,1.50192318813131
"69","N0780","MICRO","QUARTERLY","meanPertBEAT",0.0377455404450399,0.0303235866904129,2.36618694847886
"70","N0780","MICRO","QUARTERLY","medianPertBEAT",0.0431351663125647,0.034619260485966,2.70822741085092
