"","Series","Type","Period","Method","RMSE","MAE","MAPE"
"1","N0401","DEMOGRAPHIC","YEARLY","Auto.Arima",0.149833173168938,0.140786749482402,13.1086132840519
"2","N0401","DEMOGRAPHIC","YEARLY","BSTS",0.151817851048858,0.144966489619583,13.9937997175215
"3","N0401","DEMOGRAPHIC","YEARLY","ETS",0.14775015700814,0.140786749482402,13.7181430994673
"4","N0401","DEMOGRAPHIC","YEARLY","THETA",0.143967714792315,0.132061964193459,13.1653630623335
"5","N0401","DEMOGRAPHIC","YEARLY","BEA",0.148360344901831,0.142179996194795,13.6068520336802
"6","N0401","DEMOGRAPHIC","YEARLY","EAT",0.144157053650736,0.137878487719421,13.3307064819509
"7","N0401","DEMOGRAPHIC","YEARLY","BAT",0.145615722924425,0.139271734431815,13.4225920213023
"8","N0401","DEMOGRAPHIC","YEARLY","BET",0.147117087199649,0.139271734431815,13.6257686264408
"9","N0401","DEMOGRAPHIC","YEARLY","BEAT",0.14606284670612,0.139650488194461,13.4964797908435
"10","N0401","DEMOGRAPHIC","YEARLY","medianBEAT",0.149689777058806,0.142876619550992,13.8559714084944
"11","N0401","DEMOGRAPHIC","YEARLY","meanBaggedBEAT",0.164549361983734,0.140742994263976,14.4423481883739
"12","N0401","DEMOGRAPHIC","YEARLY","medianBaggedBEAT",0.167010375662682,0.137067012110129,14.2532520202884
"13","N0401","DEMOGRAPHIC","YEARLY","meanPertBEAT",0.144083841150299,0.137161469319949,13.3336197728234
"14","N0401","DEMOGRAPHIC","YEARLY","medianPertBEAT",0.142657984569487,0.135170526190691,13.2712189708581
"15","N0402","DEMOGRAPHIC","YEARLY","Auto.Arima",0.243953208384209,0.199474877194196,16.5332725312451
"16","N0402","DEMOGRAPHIC","YEARLY","BSTS",0.250827171979495,0.214734195175154,18.2320544787563
"17","N0402","DEMOGRAPHIC","YEARLY","ETS",0.247708670737656,0.207495236078763,17.403119394752
"18","N0402","DEMOGRAPHIC","YEARLY","THETA",0.234843448586436,0.200761393190244,17.0379155477425
"19","N0402","DEMOGRAPHIC","YEARLY","BEA",0.247336208065904,0.207234769482704,17.3894821349178
"20","N0402","DEMOGRAPHIC","YEARLY","EAT",0.242009155218342,0.202577168821068,16.9914358245799
"21","N0402","DEMOGRAPHIC","YEARLY","BAT",0.243000912998444,0.204990155186531,17.267747519248
"22","N0402","DEMOGRAPHIC","YEARLY","BET",0.244393580496803,0.207663608148054,17.5576964737503
"23","N0402","DEMOGRAPHIC","YEARLY","BEAT",0.244166516147126,0.205616425409589,17.301590488124
"24","N0402","DEMOGRAPHIC","YEARLY","medianBEAT",0.247208885416517,0.208539610794511,17.5527736175022
"25","N0402","DEMOGRAPHIC","YEARLY","meanBaggedBEAT",0.254740026462297,0.208701518574825,17.2891358546898
"26","N0402","DEMOGRAPHIC","YEARLY","medianBaggedBEAT",0.247307120435827,0.205780572377841,17.1588934482223
