"","Series","Type","Period","Method","RMSE","MAE","MAPE"
"1","N1676","MICRO","MONTHLY","Auto.Arima",0.323283277934489,0.277961250550418,45.4621790716558
"2","N1676","MICRO","MONTHLY","BSTS",0.357068024025434,0.286928246895477,45.3995200049052
"3","N1676","MICRO","MONTHLY","ETS",0.303573697490008,0.259322162064652,42.0729977818289
"4","N1676","MICRO","MONTHLY","THETA",0.254537263388038,0.214437784227554,32.0264458365789
"5","N1676","MICRO","MONTHLY","BEA",0.317058285946564,0.2624007539083,42.9055552926885
"6","N1676","MICRO","MONTHLY","EAT",0.287582462168314,0.243409027048703,39.0785725089656
"7","N1676","MICRO","MONTHLY","BAT",0.298247450215542,0.247765119923077,39.5854641508787
"8","N1676","MICRO","MONTHLY","BET",0.294071224076659,0.244037302225924,38.722438465909
"9","N1676","MICRO","MONTHLY","BEAT",0.297855650902376,0.248738750190652,40.0009644412091
"10","N1676","MICRO","MONTHLY","medianBEAT",0.301330806664738,0.25206549570826,40.93116938982
"11","N1676","MICRO","MONTHLY","meanBaggedBEAT",0.336879616873131,0.273588066353012,45.5850855746113
"12","N1676","MICRO","MONTHLY","medianBaggedBEAT",0.331422812415466,0.269224313224135,44.8766463972004
"13","N1676","MICRO","MONTHLY","meanPertBEAT",0.358634540262089,0.289343802966772,47.8972514306028
"14","N1676","MICRO","MONTHLY","medianPertBEAT",0.339070235015333,0.268090222713666,44.6953397208949
"15","N1677","MICRO","MONTHLY","Auto.Arima",0.183106482929135,0.142770657389418,16.7029406988542
"16","N1677","MICRO","MONTHLY","BSTS",0.909587228396531,0.882258810358526,99.1723422452214
"17","N1677","MICRO","MONTHLY","ETS",0.266802211173457,0.23345733773554,24.2428524166469
"18","N1677","MICRO","MONTHLY","THETA",0.349071926618804,0.318816957973167,33.5648940250168
"19","N1677","MICRO","MONTHLY","BEA",0.388835133163262,0.361502081500308,38.8003559835909
"20","N1677","MICRO","MONTHLY","EAT",0.231157531013422,0.192825357515489,19.9892148984455
"21","N1677","MICRO","MONTHLY","BAT",0.41779647911859,0.392440917530469,42.3150389657738
"22","N1677","MICRO","MONTHLY","BET",0.494662938722791,0.475692072738126,51.9193604495688
"23","N1677","MICRO","MONTHLY","BEAT",0.377530438861039,0.350830800618523,37.4914904939474
"24","N1677","MICRO","MONTHLY","medianBEAT",0.30718586571907,0.274702074611936,28.6686986992804
"25","N1677","MICRO","MONTHLY","meanBaggedBEAT",0.248529095371396,0.215912566129743,26.7269893531178
