"","Series","Type","Period","Method","RMSE","MAE","MAPE"
"1","N1561","MICRO","MONTHLY","Auto.Arima",0.336184617221787,0.286123815512021,21.4567970793804
"2","N1561","MICRO","MONTHLY","BSTS",0.291118973851486,0.245169941646688,18.2834292270357
"3","N1561","MICRO","MONTHLY","ETS",0.242500558196377,0.216492998561571,15.4008594270013
"4","N1561","MICRO","MONTHLY","THETA",0.243963869214255,0.217305197861157,15.4165952343413
"5","N1561","MICRO","MONTHLY","BEA",0.279717603250529,0.243532243804823,18.0261545237747
"6","N1561","MICRO","MONTHLY","EAT",0.26458254279849,0.233129337684679,16.997191063314
"7","N1561","MICRO","MONTHLY","BAT",0.280148945160107,0.243612458622408,18.0159289078536
"8","N1561","MICRO","MONTHLY","BET",0.251834511852785,0.222797523196381,16.1438077736707
"9","N1561","MICRO","MONTHLY","BEAT",0.267818383378027,0.235645454709184,17.2871778101214
"10","N1561","MICRO","MONTHLY","medianBEAT",0.263285133510444,0.232573641223669,16.8861793615729
"11","N1561","MICRO","MONTHLY","meanBaggedBEAT",0.240061931895409,0.210044370659075,14.4065092093297
"12","N1561","MICRO","MONTHLY","medianBaggedBEAT",0.240042170445226,0.214218829431349,14.9163539802362
"13","N1561","MICRO","MONTHLY","meanPertBEAT",0.254689309439828,0.225697772728294,16.2784826761314
"14","N1561","MICRO","MONTHLY","medianPertBEAT",0.262144896545,0.233208473479003,16.8645479253752
"15","N1562","MICRO","MONTHLY","Auto.Arima",0.17862517264205,0.147907046665357,11.3319127278339
"16","N1562","MICRO","MONTHLY","BSTS",0.326930655636615,0.303393118541844,23.3476890795017
"17","N1562","MICRO","MONTHLY","ETS",0.171114269669863,0.136762777914784,10.0886164286549
"18","N1562","MICRO","MONTHLY","THETA",0.2115414762567,0.180919505827549,14.0426091267868
"19","N1562","MICRO","MONTHLY","BEA",0.200337435315962,0.174448803677879,13.4859520451162
"20","N1562","MICRO","MONTHLY","EAT",0.180217010140239,0.148474065660936,11.3566634981263
"21","N1562","MICRO","MONTHLY","BAT",0.226097578578119,0.201813330265663,15.6646676703695
"22","N1562","MICRO","MONTHLY","BET",0.213427514624689,0.189744462297864,14.6757135841694
"23","N1562","MICRO","MONTHLY","BEAT",0.202387438204682,0.176066479215297,13.6251163155338
"24","N1562","MICRO","MONTHLY","medianBEAT",0.191835629974585,0.160033477200143,12.3842811026429
"25","N1562","MICRO","MONTHLY","meanBaggedBEAT",0.226959740554248,0.199825354899199,15.5588979939747
"26","N1562","MICRO","MONTHLY","medianBaggedBEAT",0.20844451917098,0.180271312782948,13.9997739187703
"27","N1562","MICRO","MONTHLY","meanPertBEAT",0.22278380042833,0.196764260387051,15.26091357815
"28","N1562","MICRO","MONTHLY","medianPertBEAT",0.217624076286526,0.192140138258233,14.8789730323265
"29","N1563","MICRO","MONTHLY","Auto.Arima",0.174234279201428,0.144473356042127,9.85115242828914
"30","N1563","MICRO","MONTHLY","BSTS",0.287560696304266,0.252302350803045,17.3495559024278
"31","N1563","MICRO","MONTHLY","ETS",0.179152369777096,0.154303995845539,9.93434151878328
"32","N1563","MICRO","MONTHLY","THETA",0.183866105208851,0.145349345661718,10.0626925217482
"33","N1563","MICRO","MONTHLY","BEA",0.177185474936531,0.139044112386299,9.68012425838853
"34","N1563","MICRO","MONTHLY","EAT",0.170903812289201,0.143714519543121,9.66958179286217
"35","N1563","MICRO","MONTHLY","BAT",0.196830800299337,0.155340757553631,10.900946353116
"36","N1563","MICRO","MONTHLY","BET",0.18321051015116,0.146104457209935,10.1554052481647
"37","N1563","MICRO","MONTHLY","BEAT",0.178294900611395,0.13958330574175,9.71525979537894
"38","N1563","MICRO","MONTHLY","medianBEAT",0.176439418124466,0.143406100688976,9.86028705655938
"39","N1563","MICRO","MONTHLY","meanBaggedBEAT",0.210599192149897,0.166676483629483,11.6630728037437
"40","N1563","MICRO","MONTHLY","medianBaggedBEAT",0.206732299793793,0.164104208381834,11.4717861408323
"41","N1563","MICRO","MONTHLY","meanPertBEAT",0.206474442922566,0.1669392851122,11.6356195053499
"42","N1563","MICRO","MONTHLY","medianPertBEAT",0.205666737345799,0.16581000061766,11.5343824011264
"43","N1564","MICRO","MONTHLY","Auto.Arima",0.231359788461994,0.189620279144868,16.6475560309862
"44","N1564","MICRO","MONTHLY","BSTS",0.495099089056781,0.446400272457915,38.6193574672473
"45","N1564","MICRO","MONTHLY","ETS",0.161367255780149,0.129947626281899,10.3182702515257
"46","N1564","MICRO","MONTHLY","THETA",0.231434864442393,0.196794791895354,17.4843161466169
"47","N1564","MICRO","MONTHLY","BEA",0.251147173653807,0.210819735507147,18.6145292782886
"48","N1564","MICRO","MONTHLY","EAT",0.181986728024399,0.151426544337474,13.2426173472157
"49","N1564","MICRO","MONTHLY","BAT",0.309540406248599,0.267431935867221,23.5587849726136
"50","N1564","MICRO","MONTHLY","BET",0.25206166742058,0.215592202186444,19.0665208676252
"51","N1564","MICRO","MONTHLY","BEAT",0.245054064585303,0.207313499604198,18.3319759953707
"52","N1564","MICRO","MONTHLY","medianBEAT",0.228053820844167,0.192821686134851,17.0343337227789
"53","N1564","MICRO","MONTHLY","meanBaggedBEAT",0.199599522625006,0.165365948807982,14.5572021458894
"54","N1564","MICRO","MONTHLY","medianBaggedBEAT",0.191492214479466,0.160941408834199,14.0628153452161
"55","N1564","MICRO","MONTHLY","meanPertBEAT",0.258579827407511,0.220275287998373,19.3522952282542
"56","N1564","MICRO","MONTHLY","medianPertBEAT",0.250668939662218,0.211645946307313,18.6461601536573
"57","N1565","MICRO","MONTHLY","Auto.Arima",0.13836635877114,0.104422468559103,7.94301117224065
"58","N1565","MICRO","MONTHLY","BSTS",0.229661197984749,0.196686554787803,15.1111416022784
"59","N1565","MICRO","MONTHLY","ETS",0.144511276906126,0.121067626248175,8.87650390207155
"60","N1565","MICRO","MONTHLY","THETA",0.160855975111435,0.128435281147123,10.1222064015377
"61","N1565","MICRO","MONTHLY","BEA",0.141284414379056,0.112559991355299,8.72406805386111
"62","N1565","MICRO","MONTHLY","EAT",0.135674771425898,0.10322007191504,7.93154239499335
"63","N1565","MICRO","MONTHLY","BAT",0.161128479254723,0.130623259230186,10.221752389418
"64","N1565","MICRO","MONTHLY","BET",0.150616372871762,0.118566171266106,9.31205422576193
"65","N1565","MICRO","MONTHLY","BEAT",0.144103023322891,0.11265399140348,8.80972079290469
"66","N1565","MICRO","MONTHLY","medianBEAT",0.140742785202426,0.10889681293088,8.4972117584552
"67","N1565","MICRO","MONTHLY","meanBaggedBEAT",0.155458520605035,0.125215271862259,9.78045887703141
"68","N1565","MICRO","MONTHLY","medianBaggedBEAT",0.146313342913176,0.118300288943554,9.16955692137519
"69","N1565","MICRO","MONTHLY","meanPertBEAT",0.138651488114786,0.111483301089933,8.55240308916691
"70","N1565","MICRO","MONTHLY","medianPertBEAT",0.13909518977471,0.114220228418571,8.69278742655345
