"","Series","Period","Method","RMSE","MAE","MAPE"
"1","N0041","YEARLY","meanBaggedEAT",0.524457248312646,0.471144083668738,23.3879786292651
"2","N0042","YEARLY","meanBaggedEAT",0.407372321476711,0.378129244721585,14.700564637954
"3","N0043","YEARLY","meanBaggedEAT",0.53985385134119,0.407918537042375,12.6007121750997
"4","N0044","YEARLY","meanBaggedEAT",0.246387803248341,0.2304807760234,16.4906640949883
"5","N0045","YEARLY","meanBaggedEAT",0.214013265563057,0.185405631436156,7.93137743013063
"6","N0046","YEARLY","meanBaggedEAT",0.143086678114377,0.108549348550418,6.347288182991
"7","N0047","YEARLY","meanBaggedEAT",0.476025157403649,0.448631253488758,28.5068314704984
"8","N0048","YEARLY","meanBaggedEAT",0.438582552052193,0.382581117929134,9.48686210103513
"9","N0049","YEARLY","meanBaggedEAT",0.517725312640638,0.372524388450823,8.91364947622185
"10","N0050","YEARLY","meanBaggedEAT",0.290345663584607,0.273764042263562,19.9369839895533
