"","Series","Period","Method","RMSE","MAE","MAPE"
"1","N1331","QUARTERLY","meanBaggedEAT",0.0603131129742178,0.0466584374741545,8.98684945869181
"2","N1332","QUARTERLY","meanBaggedEAT",0.293796899321765,0.248478350903626,31.8801465624015
"3","N1333","QUARTERLY","meanBaggedEAT",0.103397583618546,0.0939338792417799,9.66946611767104
"4","N1334","QUARTERLY","meanBaggedEAT",0.527000560443947,0.477379460698232,30.2264110717059
"5","N1335","QUARTERLY","meanBaggedEAT",0.072800589637328,0.0660881710654349,8.24356620843211
"6","N1336","QUARTERLY","meanBaggedEAT",0.345344168600531,0.322717697288744,44.3987471426937
"7","N1337","QUARTERLY","meanBaggedEAT",0.190996055742703,0.169357082328142,49.3603025924223
"8","N1338","QUARTERLY","meanBaggedEAT",0.120381478853582,0.089638370659303,8.12774168531557
"9","N1339","QUARTERLY","meanBaggedEAT",0.109943420353047,0.10008904576682,11.7343672909553
"10","N1340","QUARTERLY","meanBaggedEAT",0.181586134060654,0.158689541824374,16.7889904497043
