"","Series","Period","Method","RMSE","MAE","MAPE"
"1","N1211","QUARTERLY","meanBaggedEAT",0.0417314881071816,0.0354540689163954,2.30432186113554
"2","N1212","QUARTERLY","meanBaggedEAT",0.108451975836302,0.0938322008070663,7.6133625748023
"3","N1213","QUARTERLY","meanBaggedEAT",0.0640179175131626,0.0613649855551393,4.01314785358176
"4","N1214","QUARTERLY","meanBaggedEAT",0.23676527389363,0.170964553786506,9.86907070972557
"5","N1215","QUARTERLY","meanBaggedEAT",0.0215385991042093,0.0189078190265974,1.34587631405602
"6","N1216","QUARTERLY","meanBaggedEAT",0.158769205473327,0.126619615219906,7.84400858404946
"7","N1217","QUARTERLY","meanBaggedEAT",0.0676598203607345,0.0647534241791008,4.2325088277381
"8","N1218","QUARTERLY","meanBaggedEAT",0.0391719686842089,0.029591197909166,1.98432245206568
"9","N1219","QUARTERLY","meanBaggedEAT",0.108603279972879,0.0905899144775942,5.92580214869111
"10","N1220","QUARTERLY","meanBaggedEAT",0.14432587522675,0.119670122177692,8.51995873828534
