"","Series","Period","Method","RMSE","MAE","MAPE"
"1","N2521","MONTHLY","meanBaggedEAT200",0.34822094226865,0.294557771842126,34.2004957910524
"2","N2522","MONTHLY","meanBaggedEAT200",0.0419721263941874,0.0360937780323963,6.86851143062491
"3","N2523","MONTHLY","meanBaggedEAT200",0.0244444699142399,0.0211962752806114,1.39866740446985
"4","N2524","MONTHLY","meanBaggedEAT200",0.069565828812993,0.0602196813435814,4.13498933638443
"5","N2525","MONTHLY","meanBaggedEAT200",0.202536302104505,0.170457869897354,9.25570699327131
