"","Series","Period","Method","RMSE","MAE","MAPE"
"1","N1031","QUARTERLY","meanBaggedEAT200",0.116441815916525,0.109576383504077,6.98538831377329
"2","N1032","QUARTERLY","meanBaggedEAT200",0.0662006604127856,0.0527544457528313,3.87383187742733
"3","N1033","QUARTERLY","meanBaggedEAT200",0.022028029275854,0.0212817174123923,1.81049659601671
"4","N1034","QUARTERLY","meanBaggedEAT200",0.0316444072998555,0.0279464695684271,2.03858099873379
"5","N1035","QUARTERLY","meanBaggedEAT200",0.0441480905734514,0.0376742901643296,2.76315612489203
