"","Series","Period","Method","RMSE","MAE","MAPE"
"1","N0901","QUARTERLY","meanBaggedEAT200",0.506572300039252,0.464028962918287,23.4940778088541
"2","N0902","QUARTERLY","meanBaggedEAT200",0.0904514692314313,0.0809277042393329,8.62372042977131
"3","N0903","QUARTERLY","meanBaggedEAT200",0.0364241112704876,0.0311520915742893,2.99794006320326
"4","N0904","QUARTERLY","meanBaggedEAT200",0.04925232147616,0.0425829455007515,3.7875092751179
"5","N0905","QUARTERLY","meanBaggedEAT200",0.174135305201539,0.160754418497091,13.6995102225143
