"","Series","Period","Method","RMSE","MAE","MAPE"
"1","N1431","MONTHLY","Auto.Arima",0.436941096714894,0.346009456674866,21.0928898203418
"2","N1431","MONTHLY","BSTS",0.395189198999727,0.335598926702044,25.0631366479362
"3","N1431","MONTHLY","ETS",0.475888983848943,0.384542378948456,23.3424475290617
"4","N1431","MONTHLY","THETA",0.382054669245532,0.308091769411955,19.4076895086543
"5","N1431","MONTHLY","BEA",0.397257621327246,0.327886000275785,21.057049519375
"6","N1431","MONTHLY","EAT",0.429530201749385,0.340741675076728,20.8208912670494
"7","N1431","MONTHLY","BAT",0.374466860731534,0.313955619619026,20.6850286385763
"8","N1431","MONTHLY","BET",0.382584483090665,0.318036941691957,20.7179889501344
"9","N1431","MONTHLY","BEAT",0.392930776163341,0.32084428120096,20.4790303935859
"10","N1431","MONTHLY","medianBEAT",0.408196391972607,0.326333494255195,20.1907923532716
"11","N1431","MONTHLY","meanBaggedBEAT",0.409920084653115,0.328552774574792,20.3903992893518
"12","N1431","MONTHLY","medianBaggedBEAT",0.409837907526006,0.327729027773844,20.3150583236239
"13","N1431","MONTHLY","meanPertBEAT",0.416740974923721,0.333000841192868,20.5136933957494
"14","N1431","MONTHLY","medianPertBEAT",0.431137587676443,0.340153821772528,20.7630930426922
"15","N1432","MONTHLY","Auto.Arima",0.237573816099059,0.201752876965572,69.6230202075313
"16","N1432","MONTHLY","BSTS",0.344578945455277,0.261556009902743,72.8028240284678
"17","N1432","MONTHLY","ETS",0.433088551618251,0.333990962219673,106.866430687452
"18","N1432","MONTHLY","THETA",0.193214313971129,0.147233310910734,43.4434720044208
"19","N1432","MONTHLY","BEA",0.319934776384266,0.258169425744261,81.6850187172785
"20","N1432","MONTHLY","EAT",0.264548121051416,0.214843361878387,70.9904881292645
"21","N1432","MONTHLY","BAT",0.235363233024825,0.189069415018433,59.3805537942221
"22","N1432","MONTHLY","BET",0.300399044841419,0.232382496438703,71.7434889495509
"23","N1432","MONTHLY","BEAT",0.277361521271635,0.219722280834516,70.2885261110191
"24","N1432","MONTHLY","medianBEAT",0.263546702219881,0.212140638404397,67.8783811049448
"25","N1432","MONTHLY","meanBaggedBEAT",0.200514778493765,0.154842313856415,46.7614717595337
"26","N1432","MONTHLY","medianBaggedBEAT",0.19914090451402,0.153763424105018,46.5804640648704
"27","N1432","MONTHLY","meanPertBEAT",0.201434085302861,0.15776520065102,42.8038383100633
"28","N1432","MONTHLY","medianPertBEAT",0.199083357535769,0.157539510583333,44.4498922280268
"29","N1433","MONTHLY","Auto.Arima",0.301176016755658,0.250915522278398,79.8574230911512
"30","N1433","MONTHLY","BSTS",0.218652802986281,0.165602792515651,36.9195638564884
"31","N1433","MONTHLY","ETS",0.194039231181506,0.15658268546785,37.9063756330355
"32","N1433","MONTHLY","THETA",0.195513501409057,0.164467562816226,41.626119885852
"33","N1433","MONTHLY","BEA",0.198841814162198,0.166377966599986,46.2604846394799
"34","N1433","MONTHLY","EAT",0.207681424923659,0.182310626032702,51.7598858589719
"35","N1433","MONTHLY","BAT",0.201444654360455,0.168888462838605,47.4725158211209
"36","N1433","MONTHLY","BET",0.194555522932218,0.157989518536733,37.7063054758833
"37","N1433","MONTHLY","BEAT",0.196494289081285,0.165812018495916,45.0809807740995
"38","N1433","MONTHLY","medianBEAT",0.194220242925518,0.157671394107252,39.9066428247864
"39","N1433","MONTHLY","meanBaggedBEAT",0.230441943285896,0.173652567987928,34.074116663612
"40","N1433","MONTHLY","medianBaggedBEAT",0.228859952325692,0.174280040303655,34.4115182269935
"41","N1433","MONTHLY","meanPertBEAT",0.236408376335196,0.178751290782048,34.5650842783642
"42","N1433","MONTHLY","medianPertBEAT",0.2507484418056,0.190314675478187,35.9453968287387
"43","N1434","MONTHLY","Auto.Arima",0.212150117797449,0.176539608595607,37.0835409869795
"44","N1434","MONTHLY","BSTS",0.185860920901388,0.15121477086752,25.5679582339762
"45","N1434","MONTHLY","ETS",0.169381642400346,0.1451166960622,29.536031971812
"46","N1434","MONTHLY","THETA",0.147696429352269,0.129094351278507,22.1479736167556
"47","N1434","MONTHLY","BEA",0.152205314767861,0.124877977702677,24.9162103261455
"48","N1434","MONTHLY","EAT",0.155892117584321,0.129687934260151,26.368814350625
"49","N1434","MONTHLY","BAT",0.141280433039041,0.112723939664664,21.3101575593349
"50","N1434","MONTHLY","BET",0.143897264524027,0.116618602399761,21.0336571891115
"51","N1434","MONTHLY","BEAT",0.143957699143479,0.118307943901001,22.9591560714748
"52","N1434","MONTHLY","medianBEAT",0.15031869499914,0.126876181714613,24.6253418195204
"53","N1434","MONTHLY","meanBaggedBEAT",0.153190219607427,0.131682807246662,22.0434235610611
"54","N1434","MONTHLY","medianBaggedBEAT",0.148723592453136,0.127182601128909,21.5587542533596
"55","N1434","MONTHLY","meanPertBEAT",0.159137857693151,0.133518530565104,21.7209549704137
"56","N1434","MONTHLY","medianPertBEAT",0.154837984824035,0.131220287730251,22.1062778452978
"57","N1435","MONTHLY","Auto.Arima",0.200612218264125,0.161701267482856,26.0791869904274
"58","N1435","MONTHLY","BSTS",0.28601465042885,0.236600037253466,32.7292420679269
"59","N1435","MONTHLY","ETS",0.336494748003355,0.282550635907536,36.8528792499777
"60","N1435","MONTHLY","THETA",0.202272137449627,0.160705500847452,23.931291225289
"61","N1435","MONTHLY","BEA",0.252355470432769,0.203757097161282,27.4263752156418
"62","N1435","MONTHLY","EAT",0.226226785777109,0.175925329262163,24.0590231434267
"63","N1435","MONTHLY","BAT",0.216225814954908,0.171398754382493,25.0279204746763
"64","N1435","MONTHLY","BET",0.261999001366347,0.210558137757815,27.9361802987398
"65","N1435","MONTHLY","BEAT",0.236916251096333,0.188759303257395,25.8206227445765
"66","N1435","MONTHLY","medianBEAT",0.231994128355904,0.185312034182029,25.88349271354
"67","N1435","MONTHLY","meanBaggedBEAT",0.218640433226862,0.170919170903238,23.936463326633
"68","N1435","MONTHLY","medianBaggedBEAT",0.218048129121058,0.169351770897258,23.5597941159559
"69","N1435","MONTHLY","meanPertBEAT",0.21213480374968,0.169324564530589,24.4162733323255
"70","N1435","MONTHLY","medianPertBEAT",0.215629746726199,0.170395134370959,24.1374301683255
"71","N1436","MONTHLY","Auto.Arima",0.22358620814958,0.165786321572378,28.061545403561
"72","N1436","MONTHLY","BSTS",0.212872229572105,0.145613916828782,26.1977513041022
"73","N1436","MONTHLY","ETS",0.210836872061939,0.168847996374633,31.9587440283153
"74","N1436","MONTHLY","THETA",0.20553975981056,0.17597021016921,41.6594957180718
"75","N1436","MONTHLY","BEA",0.200121246388128,0.142915352397145,25.0781527881447
"76","N1436","MONTHLY","EAT",0.195406490755423,0.158723766670818,31.4492482340382
"77","N1436","MONTHLY","BAT",0.186456163648833,0.140126457577293,27.0948882734132
"78","N1436","MONTHLY","BET",0.190212629458079,0.147113000297961,29.6757764345889
"79","N1436","MONTHLY","BEAT",0.190444089498565,0.142929945547223,27.4214029926949
