"","Series","Period","Method","RMSE","MAE","MAPE"
"1","N2491","MONTHLY","Auto.Arima",0.571167660237041,0.492986900663316,26.974315132585
"2","N2491","MONTHLY","BSTS",0.612642194219786,0.528279075607043,31.8813383225965
"3","N2491","MONTHLY","ETS",0.609716131037976,0.501204795243479,25.9722296207582
"4","N2491","MONTHLY","THETA",0.647045003510269,0.548277476491048,28.8921342057696
"5","N2491","MONTHLY","BEA",0.577399384827275,0.50569964465152,28.180172116508
"6","N2491","MONTHLY","EAT",0.603992114768388,0.511671567464847,27.1466339010099
"7","N2491","MONTHLY","BAT",0.590296967139309,0.516417574887144,28.8874447060122
"8","N2491","MONTHLY","BET",0.59797878287677,0.517366260560772,28.4576272932647
"9","N2491","MONTHLY","BEAT",0.590181300934271,0.511271420586408,28.0867992530948
"10","N2491","MONTHLY","medianBEAT",0.586171137263867,0.499504271308737,27.0986838759777
"11","N2491","MONTHLY","meanBaggedBEAT",0.598209624452541,0.50956887512143,27.5221727733825
"12","N2491","MONTHLY","medianBaggedBEAT",0.606127236760626,0.512530502996209,27.3469416685098
"13","N2491","MONTHLY","meanPertBEAT",0.592719024999202,0.514628420980229,28.5644897359286
"14","N2491","MONTHLY","medianPertBEAT",0.60189776409549,0.512590859030811,27.5756825972326
"15","N2492","MONTHLY","Auto.Arima",0.215233878653908,0.199708199985125,30.2612811924203
"16","N2492","MONTHLY","BSTS",0.172825153052873,0.156409438098887,22.2320309458613
"17","N2492","MONTHLY","ETS",0.23971811245231,0.221751756427482,33.6729491218111
"18","N2492","MONTHLY","THETA",0.25647675809168,0.241488718809582,36.4346860459907
"19","N2492","MONTHLY","BEA",0.184076449325151,0.160182673451371,24.6875818280493
"20","N2492","MONTHLY","EAT",0.236934091368846,0.22098289174073,33.4563054534074
"21","N2492","MONTHLY","BAT",0.188101361974684,0.164260778857819,25.3182120054449
"22","N2492","MONTHLY","BET",0.196990800903936,0.172026265713175,26.5037428376319
"23","N2492","MONTHLY","BEAT",0.199878506134891,0.175338552580149,27.0237102759516
"24","N2492","MONTHLY","medianBEAT",0.227824655888821,0.211547697650706,32.0755063855034
"25","N2492","MONTHLY","meanBaggedBEAT",0.150639840799354,0.132093914836265,20.2033393635656
"26","N2492","MONTHLY","medianBaggedBEAT",0.152739241389095,0.134512155518869,20.5266416495198
"27","N2492","MONTHLY","meanPertBEAT",0.180953158611609,0.156849195218521,24.1863147641994
"28","N2492","MONTHLY","medianPertBEAT",0.193812231270701,0.169044336486094,26.071182070452
"29","N2493","MONTHLY","Auto.Arima",0.416560101908709,0.360535788611626,32.4474570088219
