"","Series","Period","Method","RMSE","MAE","MAPE"
"1","N0151","YEARLY","meanBaggedEAT200",0.180325115064574,0.150134262619957,25.0200585550763
"2","N0152","YEARLY","meanBaggedEAT200",0.161725373054694,0.142464165647901,10.2462757246067
"3","N0153","YEARLY","meanBaggedEAT200",0.131981479942578,0.11539243973231,8.74544988041741
"4","N0154","YEARLY","meanBaggedEAT200",2.38896174538142,1.65825027436824,36.0794113320588
"5","N0155","YEARLY","meanBaggedEAT200",0.383413641182331,0.313053938281685,45.6018588735123
