"","Series","Period","Method","RMSE","MAE","MAPE"
"1","N0076","YEARLY","meanBaggedEAT200",1.20237393302374,1.02545947609313,25.0133735359095
"2","N0077","YEARLY","meanBaggedEAT200",0.272165580434545,0.215620531187435,7.86706943781432
"3","N0078","YEARLY","meanBaggedEAT200",0.290584511428858,0.286112248978196,13.5611792714105
"4","N0079","YEARLY","meanBaggedEAT200",0.933000770296924,0.781150055678011,116.536975900674
"5","N0080","YEARLY","meanBaggedEAT200",0.1623546384578,0.138494981282923,12.9242008592046
